AN,1,"ANDAMAN AND NICOBAR ISLANDS"
AP,1,ADILABAD
AP,10,CHEVELLA
AP,11,MAHBUBNAGAR
AP,12,NAGARKURNOOL
AP,13,NALGONDA
AP,14,BHONGIR
AP,15,WARANGAL
AP,16,MAHABUBABAD
AP,17,KHAMMAM
AP,18,ARAKU
AP,19,SRIKAKULAM
AP,2,PEDDAPALLE
AP,20,VIZIANAGARAM
AP,21,VISAKHAPATNAM
AP,22,ANAKAPALLE
AP,23,KAKINADA
AP,24,AMALAPURAM
AP,25,RAJAHMUNDRY
AP,26,NARSAPURAM
AP,27,ELURU
AP,28,MACHILIPATNAM
AP,29,VIJAYAWADA
AP,3,KARIMNAGAR
AP,30,GUNTUR
AP,31,NARASARAOPET
AP,32,BAPATLA
AP,33,ONGOLE
AP,34,NANDYAL
AP,35,KURNOOL
AP,36,ANANTAPUR
AP,37,HINDUPUR
AP,38,KADAPA
AP,39,NELLORE
AP,4,NIZAMABAD
AP,40,TIRUPATI
AP,41,RAJAMPET
AP,42,CHITTOOR
AP,5,ZAHIRABAD
AP,6,MEDAK
AP,7,MALKAJGIRI
AP,8,SECUNDERABAD
AP,9,HYDERABAD
AR,1,"ARUNACHAL WEST"
AR,2,"ARUNACHAL EAST"
AS,1,KARIMGANJ
AS,10,NAWGONG
AS,11,KALIABOR
AS,12,JORHAT
AS,13,DIBRUGARH
AS,14,LAKHIMPUR
AS,2,SILCHAR
AS,3,"AUTONOMOUS DISTRICT"
AS,4,DHUBRI
AS,5,KOKRAJHAR
AS,6,BARPETA
AS,7,GAUHATI
AS,8,MANGALDOI
AS,9,TEZPUR
BI,1,"VALMIKI NAGAR"
BI,10,KISHANGANJ
BI,11,KATIHAR
BI,12,PURNIA
BI,13,MADHEPURA
BI,14,DARBHANGA
BI,15,MUZAFFARPUR
BI,16,VAISHALI
BI,17,GOPALGANJ
BI,18,SIWAN
BI,19,MAHARAJGANJ
BI,2,"PASCHIM CHAMPARAN"
BI,20,SARAN
BI,21,HAJIPUR
BI,22,UJIARPUR
BI,23,SAMASTIPUR
BI,24,BEGUSARAI
BI,25,KHAGARIA
BI,26,BHAGALPUR
BI,27,BANKA
BI,28,MUNGER
BI,29,NALANDA
BI,3,"PURVI CHAMPARAN"
BI,30,"PATNA SAHIB"
BI,31,PATALIPUTRA
BI,32,ARRAH
BI,33,BUXAR
BI,34,SASARAM
BI,35,KARAKAT
BI,36,JAHANABAD
BI,37,AURANGABAD
BI,38,GAYA
BI,39,NAWADA
BI,4,SHEOHAR
BI,40,JAMUI
BI,5,SITAMARHI
BI,6,MADHUBANI
BI,7,JHANJHARPUR
BI,8,SUPAUL
BI,9,ARARIA
CH,1,Chandigarg
CT,1,SURGUJA
CT,10,BASTAR
CT,11,KANKER
CT,2,RAIGARH
CT,3,JANJGIR-CHAMPA
CT,4,KORBA
CT,5,BILASPUR
CT,6,RAJNANDGAON
CT,7,DURG
CT,8,RAIPUR
CT,9,MAHASAMUND
DD,1,"DAMAN AND DIU"
DL,1,"CHANDNI CHOWK"
DL,2,"NORTH EAST DELHI"
DL,3,"EAST DELHI"
DL,4,"NEW DELHI"
DL,5,"NORTH WEST DELHI"
DL,6,"WEST DELHI"
DL,7,"SOUTH DELHI"
DN,1,"DADRA AND NAGAR HAVELI"
GJ,1,KACHCHH
GJ,10,RAJKOT
GJ,11,PORBANDAR
GJ,12,JAMNAGAR
GJ,13,JUNAGADH
GJ,14,AMRELI
GJ,15,BHAVNAGAR
GJ,16,ANAND
GJ,17,KHEDA
GJ,18,PANCHMAHAL
GJ,19,DAHOD
GJ,2,BANASKANTHA
GJ,20,VADODARA
GJ,21,"CHHOTA UDAIPUR"
GJ,22,BHARUCH
GJ,23,BARDOLI
GJ,24,SURAT
GJ,25,NAVSARI
GJ,26,VALSAD
GJ,3,PATAN
GJ,4,MAHESANA
GJ,5,SABARKANTHA
GJ,6,GANDHINAGAR
GJ,7,"AHMEDABAD EAST"
GJ,8,"AHMEDABAD WEST"
GJ,9,SURENDRANAGAR
GO,1,"NORTH GOA"
GO,2,"SOUTH GOA"
HA,1,AMBALA
HA,10,FARIDABAD
HA,2,KURUKSHETRA
HA,3,SIRSA
HA,4,HISAR
HA,5,KARNAL
HA,6,SONIPAT
HA,7,ROHTAK
HA,8,BHIWANI-MAHENDRAGARH
HA,9,GURGAON
HP,1,KANGRA
HP,2,MANDI
HP,3,HAMIRPUR
HP,4,SHIMLA
JH,1,RAJMAHAL
JH,10,SINGHBHUM
JH,11,KHUNTI
JH,12,LOHARDAGA
JH,13,PALAMU
JH,14,HAZARIBAGH
JH,2,DUMKA
JH,3,GODDA
JH,4,CHATRA
JH,5,KODARMA
JH,6,GIRIDIH
JH,7,DHANBAD
JH,8,RANCHI
JH,9,JAMSHEDPUR
JK,1,BARAMULLA
JK,2,SRINAGAR
JK,3,ANANTNAG
JK,4,LADAKH
JK,5,UDHAMPUR
JK,6,JAMMU
KA,1,CHIKKODI
KA,10,HAVERI
KA,11,DHARWAD
KA,12,"UTTARA KANNADA"
KA,13,DAVANAGERE
KA,14,SHIMOGA
KA,15,"UDUPI CHIKMAGALUR"
KA,16,HASSAN
KA,17,"DAKSHINA KANNADA"
KA,18,CHITRADURGA
KA,19,TUMKUR
KA,2,BELGAUM
KA,20,MANDYA
KA,21,MYSORE
KA,22,CHAMARAJANAGAR
KA,23,"BANGALORE RURAL"
KA,24,"BANGALORE NORTH"
KA,25,"BANGALORE CENTRAL"
KA,26,"BANGALORE SOUTH"
KA,27,CHIKKBALLAPUR
KA,28,KOLAR
KA,3,BAGALKOT
KA,4,BIJAPUR
KA,5,GULBARGA
KA,6,RAICHUR
KA,7,BIDAR
KA,8,KOPPAL
KA,9,BELLARY
KE,1,KASARAGOD
KE,10,THRISSUR
KE,11,CHALAKUDY
KE,12,ERNAKULAM
KE,13,IDUKKI
KE,14,KOTTAYAM
KE,15,ALAPPUZHA
KE,16,MAVELIKKARA
KE,17,PATHANAMTHITTA
KE,18,KOLLAM
KE,19,ATTINGAL
KE,2,KANNUR
KE,20,THIRUVANANTHAPURAM
KE,3,VADAKARA
KE,4,WAYANAD
KE,5,KOZHIKODE
KE,6,MALAPPURAM
KE,7,PONNANI
KE,8,PALAKKAD
KE,9,ALATHUR
LD,1,LAKSHADWEEP
MA,1,"INNER MA"
MA,2,"OUTER MA"
ME,1,SHILLONG
ME,2,TURA
MH,1,NANDURBAR
MH,10,NAGPUR
MH,11,BHANDARA-GONDIYA
MH,12,GADCHIROLI-CHIMUR
MH,13,CHANDRAPUR
MH,14,YAVATMAL-WASHIM
MH,15,HINGOLI
MH,16,NANDED
MH,17,PARBHANI
MH,18,JALNA
MH,19,AURANGABAD
MH,2,DHULE
MH,20,DINDORI
MH,21,NASHIK
MH,22,PALGHAR
MH,23,BHIWANDI
MH,24,KALYAN
MH,25,THANE
MH,26,"MUMBAI NORTH"
MH,27,"MUMBAI NORTH-WEST"
MH,28,"MUMBAI NORTH-EAST"
MH,29,"MUMBAI NORTH-CENTRAL"
MH,3,JALGAON
MH,30,"MUMBAI SOUTH-CENTRAL"
MH,31,"MUMBAI SOUTH"
MH,32,RAIGAD
MH,33,MAVAL
MH,34,PUNE
MH,35,BARAMATI
MH,36,SHIRUR
MH,37,AHMEDNAGAR
MH,38,SHIRDI
MH,39,BEED
MH,4,RAVER
MH,40,OSMANABAD
MH,41,LATUR
MH,42,SOLAPUR
MH,43,MADHA
MH,44,SANGLI
MH,45,SATARA
MH,46,"RATNAGIRI SINDHUDURG"
MH,47,KOLHAPUR
MH,48,HATKANANGLE
MH,5,BULDHANA
MH,6,AKOLA
MH,7,AMRAVATI
MH,8,WARDHA
MH,9,RAMTEK
MI,1,MIZORAM
MP,1,MORENA
MP,10,REWA
MP,11,SIDHI
MP,12,SHAHDOL
MP,13,JABALPUR
MP,14,MANDLA
MP,15,BALAGHAT
MP,16,CHHINDWARA
MP,17,HOSHANGABAD
MP,18,VIDISHA
MP,19,BHOPAL
MP,2,BHIND
MP,20,RAJGARH
MP,21,DEWAS
MP,22,UJJAIN
MP,23,MANDSOUR
MP,24,RATLAM
MP,25,DHAR
MP,26,INDORE
MP,27,KHARGONE
MP,28,KHANDWA
MP,29,BETUL
MP,3,GWALIOR
MP,4,GUNA
MP,5,SAGAR
MP,6,TIKAMGARH
MP,7,DAMOH
MP,8,KHAJURAHO
MP,9,SATNA
NA,1,NAGALAND
OR,1,BARGARH
OR,10,BOLANGIR
OR,11,KALAHANDI
OR,12,NABARANGPUR
OR,13,KANDHAMAL
OR,14,CUTTACK
OR,15,KENDRAPARA
OR,16,JAGATSINGHPUR
OR,17,PURI
OR,18,BHUBANESWAR
OR,19,ASKA
OR,2,SUNDARGARH
OR,20,BERHAMPUR
OR,21,KORAPUT
OR,3,SAMBALPUR
OR,4,KEONJHAR
OR,5,MAYURBHANJ
OR,6,BALASORE
OR,7,BHADRAK
OR,8,JAJPUR
OR,9,DHENKANAL
PB,1,GURDASPUR
PB,10,FIROZPUR
PB,11,BATHINDA
PB,12,SANGRUR
PB,13,PATIALA
PB,2,AMRITSAR
PB,3,"KHADOOR SAHIB"
PB,4,JALANDHAR
PB,5,HOSHIARPUR
PB,6,"ANANDPUR SAHIB"
PB,7,LUDHIANA
PB,8,"FATEHGARH SAHIB"
PB,9,FARIDKOT
PO,1,PUDUCHERRY
RJ,1,GANGANAGAR
RJ,10,KARAULI-DHOLPUR
RJ,11,DAUSA
RJ,12,"TONK-SAWAI MADHOPUR"
RJ,13,AJMER
RJ,14,NAGAUR
RJ,15,PALI
RJ,16,JODHPUR
RJ,17,BARMER
RJ,18,JALORE
RJ,19,UDAIPUR
RJ,2,BIKANER
RJ,20,BANSWARA
RJ,21,CHITTORGARH
RJ,22,RAJSAMAND
RJ,23,BHILWARA
RJ,24,KOTA
RJ,25,JHALAWAR-BARAN
RJ,3,CHURU
RJ,4,JHUNJHUNU
RJ,5,SIKAR
RJ,6,"JAIPUR RURAL"
RJ,7,JAIPUR
RJ,8,ALWAR
RJ,9,BHARATPUR
SK,1,SIKKIM
STATE,PC_NO,PC_NAME
TN,1,TIRUVALLUR
TN,10,DHARMAPURI
TN,11,TIRUVANNAMALAI
TN,12,ARANI
TN,13,VILUPPURAM
TN,14,KALLAKURICHI
TN,15,SALEM
TN,16,NAMAKKAL
TN,17,ERODE
TN,18,TIRUPPUR
TN,19,NILGIRIS
TN,2,"CHENNAI NORTH"
TN,20,COIMBATORE
TN,21,POLLACHI
TN,22,DINDIGUL
TN,23,KARUR
TN,24,TIRUCHIRAPPALLI
TN,25,PERAMBALUR
TN,26,CUDDALORE
TN,27,CHIDAMBARAM
TN,28,MAYILADUTHURAI
TN,29,NAGAPATTINAM
TN,3,"CHENNAI SOUTH"
TN,30,THANJAVUR
TN,31,SIVAGANGA
TN,32,MADURAI
TN,33,THENI
TN,34,VIRUDHUNAGAR
TN,35,RAMANATHAPURAM
TN,36,THOOTHUKKUDI
TN,37,TENKASI
TN,38,TIRUNELVELI
TN,39,KANNIYAKUMARI
TN,4,"CHENNAI CENTRAL"
TN,5,SRIPERUMBUDUR
TN,6,KANCHEEPURAM
TN,7,ARAKKONAM
TN,8,VELLORE
TN,9,KRISHNAGIRI
TR,1,"TRIPURA WEST"
TR,2,"TRIPURA EAST"
UP,1,SAHARANPUR
UP,10,MEERUT
UP,11,BAGHPAT
UP,12,GHAZIABAD
UP,13,"GAUTAM BUDDHA NAGAR"
UP,14,BULANDSHAHR
UP,15,ALIGARH
UP,16,HATHRAS
UP,17,MATHURA
UP,18,AGRA
UP,19,"FATEHPUR SIKRI"
UP,2,KAIRANA
UP,20,FIROZABAD
UP,21,MAINPURI
UP,22,ETAH
UP,23,BADAUN
UP,24,AONLA
UP,25,BAREILLY
UP,26,PILIBHIT
UP,27,SHAHJAHANPUR
UP,28,KHERI
UP,29,DHAURAHRA
UP,3,MUZAFFARNAGAR
UP,30,SITAPUR
UP,31,HARDOI
UP,32,MISRIKH
UP,33,UNNAO
UP,34,MOHANLALGANJ
UP,35,LUCKNOW
UP,36,"RAE BARELI"
UP,37,AMETHI
UP,38,SULTANPUR
UP,39,PRATAPGARH
UP,4,BIJNOR
UP,40,FARRUKHABAD
UP,41,ETAWAH
UP,42,KANNAUJ
UP,43,KANPUR
UP,44,AKBARPUR
UP,45,JALAUN
UP,46,JHANSI
UP,47,HAMIRPUR
UP,48,BANDA
UP,49,FATEHPUR
UP,5,NAGINA
UP,50,KAUSHAMBI
UP,51,PHULPUR
UP,52,ALLAHABAD
UP,53,BARABANKI
UP,54,FAIZABAD
UP,55,"AMBEDKAR NAGAR"
UP,56,BAHRAICH
UP,57,KAISERGANJ
UP,58,SHRAWASTI
UP,59,GONDA
UP,6,MORADABAD
UP,60,DOMARIYAGANJ
UP,61,BASTI
UP,62,"SANT KABIR NAGAR"
UP,63,MAHARAJGANJ
UP,64,GORAKHPUR
UP,65,"KUSHI NAGAR"
UP,66,DEORIA
UP,67,BANSGAON
UP,68,LALGANJ
UP,69,AZAMGARH
UP,7,RAMPUR
UP,70,GHOSI
UP,71,SALEMPUR
UP,72,BALLIA
UP,73,JAUNPUR
UP,74,MACHHLISHAHR
UP,75,GHAZIPUR
UP,76,CHANDAULI
UP,77,VARANASI
UP,78,BHADOHI
UP,79,MIRZAPUR
UP,8,SAMBHAL
UP,80,ROBERTSGANJ
UP,9,AMROHA
UT,1,"TEHRI GARHWAL"
UT,2,GARHWAL
UT,3,ALMORA
UT,4,"NAINITAL-UDHAMSINGH NAGAR"
UT,5,HARDWAR
WB,1,COOCHBEHAR
WB,10,BAHARAMPUR
WB,11,MURSHIDABAD
WB,12,KRISHNANAGAR
WB,13,RANAGHAT
WB,14,BANGAON
WB,15,BARRACKPUR
WB,16,"DUM DUM"
WB,17,BARASAT
WB,18,BASIRHAT
WB,19,JAYNAGAR
WB,2,ALIPURDUARS
WB,20,MATHURAPUR
WB,21,"DIAMOND HARBOUR"
WB,22,JADAVPUR
WB,23,"KOLKATA DAKSHIN"
WB,24,"KOLKATA UTTAR"
WB,25,HOWRAH
WB,26,ULUBERIA
WB,27,SREERAMPUR
WB,28,HOOGHLY
WB,29,ARAMBAG
WB,3,JALPAIGURI
WB,30,TAMLUK
WB,31,KANTHI
WB,32,GHATAL
WB,33,JHARGRAM
WB,34,MEDINIPUR
WB,35,PURULIA
WB,36,BANKURA
WB,37,BISHNUPUR
WB,38,"BARDHAMAN PURBA"
WB,39,BARDHAMAN-DURGAPUR
WB,4,DARJEELING
WB,40,ASANSOL
WB,41,BOLPUR
WB,42,BIRBHUM
WB,5,RAIGANJ
WB,6,BALURGHAT
WB,7,"MALDAHA UTTAR"
WB,8,"MALDAHA DAKSHIN"
WB,9,JANGIPUR
